Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Masters,2012,Bangalore,3,27,Male,No,5,1
Bachelors,2012,Bangalore,3,37,Male,No,4,0
Bachelors,2012,Bangalore,3,37,Male,No,0,0
Bachelors,2012,Bangalore,3,39,Male,No,1,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,1,28,Female,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,1
Bachelors,2012,Bangalore,3,24,Male,No,2,1
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,27,Male,No,5,1
Bachelors,2012,Bangalore,3,25,Male,No,3,1
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,28,Male,No,3,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,28,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,24,Male,No,2,1
Bachelors,2012,Bangalore,3,25,Male,Yes,3,0
Bachelors,2012,Bangalore,3,24,Male,Yes,2,0
Bachelors,2012,Bangalore,3,25,Female,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,28,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Female,No,3,0
Bachelors,2012,Bangalore,3,28,Female,No,2,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,28,Male,Yes,3,1
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,28,Female,No,2,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,28,Male,No,3,0
Masters,2012,Bangalore,3,27,Male,No,5,1
Bachelors,2012,Bangalore,3,25,Female,Yes,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,28,Female,No,2,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,28,Male,No,1,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,28,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,25,Male,No,3,1
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,28,Male,No,1,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,27,Female,Yes,5,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,1,27,Male,No,5,1
Bachelors,2012,Bangalore,3,28,Male,No,2,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,1,27,Male,No,5,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Female,Yes,3,0
Bachelors,2012,Bangalore,3,28,Female,No,1,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,1,28,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
Bachelors,2012,Bangalore,3,28,Male,No,1,0
Bachelors,2012,Bangalore,3,28,Female,No,2,1
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,27,Male,No,5,1
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
